Channel_img,Count_FilteredNuclei,Count_IdentifySecondaryObjects,Count_Watershed,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05CorrectIlluminationCalculate,ExecutionTime_06CorrectIlluminationApply,ExecutionTime_07Watershed,ExecutionTime_08IdentifySecondaryObjects,ExecutionTime_09TrackObjects,ExecutionTime_10MeasureObjectSizeShape,ExecutionTime_11MeasureObjectNeighbors,ExecutionTime_12SaveImages,FileName_img,Frame_img,Group_Index,Group_Number,Height_img,ImageNumber,ImageSet_ImageSet,MD5Digest_img,Metadata_FileLocation,Metadata_Frame,Metadata_Series,ModuleError_01Images,ModuleError_02Metadata,ModuleError_03NamesAndTypes,ModuleError_04Groups,ModuleError_05CorrectIlluminationCalculate,ModuleError_06CorrectIlluminationApply,ModuleError_07Watershed,ModuleError_08IdentifySecondaryObjects,ModuleError_09TrackObjects,ModuleError_10MeasureObjectSizeShape,ModuleError_11MeasureObjectNeighbors,ModuleError_12SaveImages,PathName_img,ProcessingStatus,Scaling_img,Series_img,Threshold_FinalThreshold_IdentifySecondaryObjects,Threshold_OrigThreshold_IdentifySecondaryObjects,Threshold_SumOfEntropies_IdentifySecondaryObjects,Threshold_WeightedVariance_IdentifySecondaryObjects,TrackObjects_LostObjectCount_IdentifySecondaryObjects_50,TrackObjects_MergedObjectCount_IdentifySecondaryObjects_50,TrackObjects_NewObjectCount_IdentifySecondaryObjects_50,TrackObjects_SplitObjectCount_IdentifySecondaryObjects_50,URL_img,Width_img
-1,38.0,38.0,39.0,0.0,0.0,2.8125,0.0,0.3125,0.03125,1.53125,1.875,1.953125,0.234375,1.203125,0.265625,Xantamonase_T001.tif,0,1,1,1104,1,b'eLu5t/ItG02MQyQxGhgY6pVkpoELfJiPgQEJ8gmoRnBGqRpADET1AA5KIAMcC6CqwtfVDgC9e6GK',53040287adb1abfd5ee6da52f1bb0fe9,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xantamonase/2.%20Ilastik%20Output/5.%20renaming%20selected%20images/final/Xantamonase_T001.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Xantamonase\2. Ilastik Output\5. renaming selected images\final,Done,255,0,3.163643569337182e-08,3.1636436e-08,-13.500546898796342,0.00025840590411426606,0,0,38,0,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xantamonase/2.%20Ilastik%20Output/5.%20renaming%20selected%20images/final/Xantamonase_T001.tif,1376
-1,38.0,38.0,38.0,0.0,0.0,0.953125,0.0,0.828125,0.0625,1.4375,1.828125,1.90625,0.234375,1.15625,0.3125,Xantamonase_T002.tif,0,2,1,1104,2,b'eLu5t/ItG02MQyQxGhgY6ZVkpoELfJiPgQEJ8gmoRnBGqRpADET1AA5KIAMcC6CqwtfVDgC9yKGL',17035a67ccaeff3d3d798589b440f88d,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xantamonase/2.%20Ilastik%20Output/5.%20renaming%20selected%20images/final/Xantamonase_T002.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Xantamonase\2. Ilastik Output\5. renaming selected images\final,Done,255,0,3.1853353732458345e-08,3.1853354e-08,-13.49116699295809,0.00024294987384678403,0,1,1,0,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xantamonase/2.%20Ilastik%20Output/5.%20renaming%20selected%20images/final/Xantamonase_T002.tif,1376
-1,38.0,38.0,39.0,0.0,0.0,0.53125,0.0,0.71875,0.0625,1.578125,1.875,1.890625,0.21875,1.15625,0.265625,Xantamonase_T003.tif,0,3,1,1104,3,b'eLu5t/ItG02MQyQxGhgY65VkpoELfJiPgQEJ8gmoRnBGqRpADET1AA5KIAMcC6CqwtfVDgC+FaGM',f3bd01fa1e1e1d9f9b78eb6afd2dc4e0,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xantamonase/2.%20Ilastik%20Output/5.%20renaming%20selected%20images/final/Xantamonase_T003.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Xantamonase\2. Ilastik Output\5. renaming selected images\final,Done,255,0,3.944895965446449e-08,3.944896e-08,-13.492956086676408,0.00026052466720807285,1,0,1,0,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xantamonase/2.%20Ilastik%20Output/5.%20renaming%20selected%20images/final/Xantamonase_T003.tif,1376
-1,36.0,36.0,37.0,0.0,0.0,0.609375,0.0,0.65625,0.03125,1.484375,1.84375,1.90625,0.25,1.21875,0.265625,Xantamonase_T004.tif,0,4,1,1104,4,b'eLu5t/ItG02MQyQxGhiY6JVkpoELfJiPgQEJ8gmoRnBGqRpADET1AA5KIAMcC6CqwtfVDgC+YqGN',6faae60541e3023c8c91e91f54cf35de,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xantamonase/2.%20Ilastik%20Output/5.%20renaming%20selected%20images/final/Xantamonase_T004.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Xantamonase\2. Ilastik Output\5. renaming selected images\final,Done,255,0,3.163643569337182e-08,3.1636436e-08,-13.492106975625333,0.0002712216794199079,2,2,0,2,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xantamonase/2.%20Ilastik%20Output/5.%20renaming%20selected%20images/final/Xantamonase_T004.tif,1376
-1,39.0,39.0,40.0,0.0,0.0,0.390625,0.0,0.59375,0.0625,1.6875,1.828125,1.859375,0.265625,1.078125,0.25,Xantamonase_T005.tif,0,5,1,1104,5,b'eLu5t/ItG02MQyQxGhiY6pVkpoELfJiPgQEJ8gmoRnBGqRpADET1AA5KIAMcC6CqwtfVDgC+r6GO',5df73665115c49f58b5d6284ac623656,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xantamonase/2.%20Ilastik%20Output/5.%20renaming%20selected%20images/final/Xantamonase_T005.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Xantamonase\2. Ilastik Output\5. renaming selected images\final,Done,255,0,3.862443875846111e-08,3.862444e-08,-13.50299105904229,0.00027191684056375394,0,0,2,3,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xantamonase/2.%20Ilastik%20Output/5.%20renaming%20selected%20images/final/Xantamonase_T005.tif,1376
-1,39.0,39.0,40.0,0.0,0.0,0.328125,0.0,0.953125,0.03125,1.609375,1.84375,1.921875,0.234375,1.203125,0.265625,Xantamonase_T006.tif,0,6,1,1104,6,b'eLu5t/ItG02MQyQxGhiY6ZVkpoELfJiPgQEJ8gmoRnBGqRpADET1AA5KIAMcC6CqwtfVDgC+/KGP',a7daf759a33824d5b4f4ee2e288e9f63,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xantamonase/2.%20Ilastik%20Output/5.%20renaming%20selected%20images/final/Xantamonase_T006.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Xantamonase\2. Ilastik Output\5. renaming selected images\final,Done,255,0,4.438229694869733e-08,4.4382297e-08,-13.495538945188791,0.0002611041353330415,1,0,1,3,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xantamonase/2.%20Ilastik%20Output/5.%20renaming%20selected%20images/final/Xantamonase_T006.tif,1376
-1,39.0,39.0,41.0,0.0,0.0,0.359375,0.0,0.3125,0.03125,1.65625,1.796875,1.8125,0.21875,1.140625,0.296875,Xantamonase_T007.tif,0,7,1,1104,7,b'eLu5t/ItG02MQyQxGhiY65VkpoELfJiPgQEJ8gmoRnBGqRpADET1AA5KIAMcC6CqwtfVDgC/SaGQ',ae8fc64f1777dc4a6ea1951e90806c4b,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xantamonase/2.%20Ilastik%20Output/5.%20renaming%20selected%20images/final/Xantamonase_T007.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Xantamonase\2. Ilastik Output\5. renaming selected images\final,Done,255,0,3.862443875846111e-08,3.862444e-08,-13.500135284767401,0.0002741610763148026,1,0,0,4,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xantamonase/2.%20Ilastik%20Output/5.%20renaming%20selected%20images/final/Xantamonase_T007.tif,1376
-1,39.0,39.0,41.0,0.0,0.0,0.46875,0.0,0.296875,0.03125,1.609375,1.859375,1.953125,0.265625,1.125,0.296875,Xantamonase_T008.tif,0,8,1,1104,8,b'eLu5t/ItG02MQyQxGhhY6JVkpoELfJiPgQEJ8gmoRnBGqRpADET1AA5KIAMcC6CqwtfVDgC/lqGR',7a3deb72c8edc01df4ff64b172ccb48d,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xantamonase/2.%20Ilastik%20Output/5.%20renaming%20selected%20images/final/Xantamonase_T008.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Xantamonase\2. Ilastik Output\5. renaming selected images\final,Done,255,0,3.163643569337182e-08,3.1636436e-08,-13.490373196092934,0.00027375034481035113,0,1,0,4,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xantamonase/2.%20Ilastik%20Output/5.%20renaming%20selected%20images/final/Xantamonase_T008.tif,1376
-1,40.0,40.0,42.0,0.0,0.0,0.25,0.0,0.28125,0.015625,1.640625,1.78125,1.9375,0.265625,1.15625,0.265625,Xantamonase_T009.tif,0,9,1,1104,9,b'eLu5t/ItG02MQyQxGhhY6pVkpoELfJiPgQEJ8gmoRnBGqRpADET1AA5KIAMcC6CqwtfVDgC/46GS',b7166065bc929b016214bcc0ad08794a,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xantamonase/2.%20Ilastik%20Output/5.%20renaming%20selected%20images/final/Xantamonase_T009.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Xantamonase\2. Ilastik Output\5. renaming selected images\final,Done,255,0,3.1853353732458345e-08,3.1853354e-08,-13.489660349869325,0.0002668072461323664,0,0,1,4,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xantamonase/2.%20Ilastik%20Output/5.%20renaming%20selected%20images/final/Xantamonase_T009.tif,1376
-1,38.0,38.0,39.0,0.0,0.0,0.21875,0.0,0.296875,0.015625,1.5625,1.859375,1.921875,0.25,1.171875,0.265625,Xantamonase_T010.tif,0,10,1,1104,10,b'eLu5t/ItG02MQyQxGhga6JVkpoELfJiPgQEJ8gmoRnBGqRpADET1AA5KIAMcC6CqwtfVDgC9fKGK',05b4b9670245d2d154d4ac8819d03494,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xantamonase/2.%20Ilastik%20Output/5.%20renaming%20selected%20images/final/Xantamonase_T010.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Xantamonase\2. Ilastik Output\5. renaming selected images\final,Done,255,0,4.636758532683416e-08,4.6367585e-08,-13.486464028408008,0.00024475891309913805,1,2,1,3,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xantamonase/2.%20Ilastik%20Output/5.%20renaming%20selected%20images/final/Xantamonase_T010.tif,1376
-1,39.0,39.0,40.0,0.0,0.0,0.28125,0.0,0.28125,0.03125,1.625,1.890625,1.921875,0.25,1.140625,0.28125,Xantamonase_T011.tif,0,11,1,1104,11,b'eLu5t/ItG02MQyQxGhga6pVkpoELfJiPgQEJ8gmoRnBGqRpADET1AA5KIAMcC6CqwtfVDgC9yaGL',51e3aebf5500e460d83f82327b59ebbf,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xantamonase/2.%20Ilastik%20Output/5.%20renaming%20selected%20images/final/Xantamonase_T011.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Xantamonase\2. Ilastik Output\5. renaming selected images\final,Done,255,0,3.150629979131736e-08,3.15063e-08,-13.49988527373583,0.00027411437545135376,1,0,0,5,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xantamonase/2.%20Ilastik%20Output/5.%20renaming%20selected%20images/final/Xantamonase_T011.tif,1376
-1,39.0,39.0,40.0,0.0,0.0,0.203125,0.0,0.3125,0.03125,1.453125,1.859375,1.875,0.265625,1.203125,0.328125,Xantamonase_T012.tif,0,12,1,1104,12,b'eLu5t/ItG02MQyQxGhga6ZVkpoELfJiPgQEJ8gmoRnBGqRpADET1AA5KIAMcC6CqwtfVDgC+FqGM',f533f6e80e9088cd94f148fb3a38c63b,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xantamonase/2.%20Ilastik%20Output/5.%20renaming%20selected%20images/final/Xantamonase_T012.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Xantamonase\2. Ilastik Output\5. renaming selected images\final,Done,255,0,3.1853353732458345e-08,3.1853354e-08,-13.496950400394546,0.00026476548862367654,0,1,1,4,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xantamonase/2.%20Ilastik%20Output/5.%20renaming%20selected%20images/final/Xantamonase_T012.tif,1376
